research_rank,asset_id,ticker,company_name,exchange,cik,candidate_matrix_status,evidence_level,experimental_score,score_bucket,fundamentals_quality_score,growth_momentum_score,profitability_cashflow_score,price_momentum_trend_score,risk_liquidity_score,top_positive_drivers,top_risk_drivers,missing_reason,experimental_score_notes,scoring_calculated,ranking_calculated,recommendation_generated,phase
126,U00143,ALLT,Allot Ltd. - Ordinary Shares,NASDAQ,0001365767,CANDIDATE_MATRIX_READY,high,55.559,INVESTIGATE_LOW,58.6743,52.2751,76.5998,31.9268,57.9639,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
127,U00616,CHR,"Cheer Holding, Inc. - Class A Ordinary Share",NASDAQ,0001738758,CANDIDATE_MATRIX_READY,high,55.114,INVESTIGATE_LOW,88.1569,36.4847,89.804,0.0,34.0917,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
128,U00580,CENX,Century Aluminum Company - Common Stock,NASDAQ,0000949157,CANDIDATE_MATRIX_READY,high,54.9023,INVESTIGATE_LOW,51.2363,53.472,60.1783,55.9932,56.0267,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
129,U00645,CLMT,"Calumet, Inc - Common Stock",NASDAQ,0002013745,CANDIDATE_MATRIX_READY,high,54.7809,INVESTIGATE_LOW,43.1999,28.1274,53.372,100.0,55.21,positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
130,U00578,CENT,Central Garden & Pet Company - Common Stock,NASDAQ,0000887733,CANDIDATE_MATRIX_READY,high,54.6808,INVESTIGATE_LOW,52.5542,23.6595,75.7315,55.0129,80.338,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
131,U00367,BEAM,Beam Therapeutics Inc. - Common Stock,NASDAQ,0001745999,CANDIDATE_MATRIX_READY,high,54.3307,INVESTIGATE_LOW,69.6748,75.1209,0.0,65.4826,53.0751,positive revenue growth; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
132,U00030,ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,0000880984,CANDIDATE_MATRIX_READY,high,54.1842,INVESTIGATE_LOW,69.6155,53.0278,63.3295,27.4748,45.3312,positive revenue growth; positive profitability/FCF signal; positive price trend,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
133,U00078,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,0001853044,CANDIDATE_MATRIX_READY,high,53.8449,INVESTIGATE_LOW,51.6529,27.2156,71.8063,85.094,15.2581,positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
134,U00535,CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",NASDAQ,0001067294,CANDIDATE_MATRIX_READY,high,53.3932,INVESTIGATE_LOW,45.2981,50.4964,57.0077,65.117,52.7958,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
135,U00347,BBNX,"Beta Bionics, Inc. - Common Stock",NASDAQ,0001674632,CANDIDATE_MATRIX_READY,high,53.3212,INVESTIGATE_LOW,66.3514,85.0,0.0,61.8828,40.3922,positive revenue growth; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
136,U00579,CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,NASDAQ,0000887733,CANDIDATE_MATRIX_READY,high,53.1371,INVESTIGATE_LOW,52.5542,22.2934,75.7315,48.2816,81.0951,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
137,U00124,AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,0001517022,CANDIDATE_MATRIX_READY,high,52.9816,INVESTIGATE_LOW,70.0128,74.4522,72.737,0.779,23.8411,positive revenue growth; positive profitability/FCF signal,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
138,U00008,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,0001158114,CANDIDATE_MATRIX_READY,high,52.8704,INVESTIGATE_LOW,69.4675,70.0,6.6114,67.5484,31.9816,positive revenue growth; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
139,U00237,ARHS,"Arhaus, Inc. - Class A Common Stock",NASDAQ,0001875444,CANDIDATE_MATRIX_READY,high,52.6258,INVESTIGATE_LOW,61.9553,60.431,67.1318,22.0685,41.1298,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
140,U00494,BYND,"Beyond Meat, Inc. - Common stock",NASDAQ,0001655210,CANDIDATE_MATRIX_READY,high,52.5269,INVESTIGATE_LOW,46.7564,15.0,65.0,95.0,35.0,positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
141,U00493,BYFC,Broadway Financial Corporation - Class A Common Stock,NASDAQ,0001001171,CANDIDATE_MATRIX_READY,high,52.2939,INVESTIGATE_LOW,45.0173,70.0305,6.3478,88.7166,57.6973,positive revenue growth; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
142,U00495,BYRN,"Byrna Technologies, Inc. - Common Stock",NASDAQ,0001354866,CANDIDATE_MATRIX_READY,high,52.1864,INVESTIGATE_LOW,80.1533,64.7455,59.7141,0.0,32.4848,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
143,U00113,AIP,"Arteris, Inc. - Common Stock",NASDAQ,0001667011,CANDIDATE_MATRIX_READY,high,51.9123,INVESTIGATE_LOW,48.1031,58.1156,49.117,68.1891,23.9701,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
144,U00020,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,0001755953,CANDIDATE_MATRIX_READY,high,51.6016,INVESTIGATE_LOW,62.4715,85.0,0.0,65.1039,28.3933,positive revenue growth; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
145,U00342,BBCP,"Concrete Pumping Holdings, Inc. - Common Stock",NASDAQ,0001703956,CANDIDATE_MATRIX_READY,high,51.5701,INVESTIGATE_LOW,54.9445,13.9473,62.9134,71.3648,54.4163,positive profitability/FCF signal; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
146,U00402,BL,"BlackLine, Inc. - Common Stock",NASDAQ,0001666134,CANDIDATE_MATRIX_READY,high,51.4558,INVESTIGATE_LOW,65.9486,52.9213,80.0437,6.9608,36.8602,positive revenue growth; positive profitability/FCF signal,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
147,U00190,ANIK,Anika Therapeutics Inc. - Common Stock,NASDAQ,0000898437,CANDIDATE_MATRIX_READY,high,51.4491,INVESTIGATE_LOW,39.6778,21.1332,48.5424,94.5746,66.9571,positive profitability/FCF signal; positive price trend; positive 12m momentum,high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
148,U00511,CALM,"Cal-Maine Foods, Inc. - Common Stock",NASDAQ,0000016160,CANDIDATE_MATRIX_READY,high,51.378,INVESTIGATE_LOW,75.7068,8.5142,86.0664,14.8202,67.8576,positive profitability/FCF signal,large 12m drawdown,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
149,U00159,ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ,0000778164,CANDIDATE_MATRIX_READY,high,50.8248,INVESTIGATE_LOW,62.5989,7.6448,55.9776,74.9861,43.2338,positive profitability/FCF signal; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
150,U00230,ARCB,ArcBest Corporation - Common Stock,NASDAQ,0000894405,CANDIDATE_MATRIX_READY,high,50.8223,INVESTIGATE_LOW,44.5182,12.3299,59.1031,81.4452,68.9118,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
151,U00435,BOF,BranchOut Food Inc. - Common Stock,NASDAQ,0001962481,CANDIDATE_MATRIX_READY,high,50.3962,INVESTIGATE_LOW,57.5109,77.6515,0.0,66.5496,43.0275,positive revenue growth; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
152,U00090,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,0001439222,CANDIDATE_MATRIX_READY,high,50.3786,INVESTIGATE_LOW,65.5242,83.3791,0.0,44.7364,50.9826,positive revenue growth,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
153,U00128,ALCO,"Alico, Inc. - Common Stock",NASDAQ,0000003545,CANDIDATE_MATRIX_READY,high,50.3462,INVESTIGATE_LOW,63.3193,11.3611,60.0,45.4077,79.967,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
154,U00617,CHRD,Chord Energy Corporation - Common Stock,NASDAQ,0001486159,CANDIDATE_MATRIX_READY,high,50.0484,INVESTIGATE_LOW,53.3459,13.0346,41.5497,82.3858,66.5057,positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
155,U00263,ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,0001920406,CANDIDATE_MATRIX_READY,high,49.9981,INVESTIGATE_LOW,70.0,85.0,0.0,42.0,35.9814,positive revenue growth,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
156,U00137,ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,0001832466,CANDIDATE_MATRIX_READY,high,49.9033,INVESTIGATE_LOW,62.7723,73.2181,56.5663,8.6507,33.8462,positive revenue growth; positive profitability/FCF signal,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
157,U00329,AZTA,"Azenta, Inc. - Common Stock",NASDAQ,0000933974,CANDIDATE_MATRIX_READY,high,49.8543,INVESTIGATE_LOW,65.0069,15.6817,52.9356,59.9992,46.2891,positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
158,U00289,ATRO,Astronics Corporation - Common Stock,NASDAQ,0000008063,CANDIDATE_MATRIX_READY,high,49.816,INVESTIGATE_LOW,47.4084,47.4956,45.7892,61.3449,46.6756,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
159,U00212,APOG,"Apogee Enterprises, Inc. - Common Stock",NASDAQ,0000006845,CANDIDATE_MATRIX_READY,high,49.7977,INVESTIGATE_LOW,51.7208,43.6499,69.3894,24.5254,67.6851,positive revenue growth; positive profitability/FCF signal,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
160,U00408,BLKB,"Blackbaud, Inc. - Common Stock",NASDAQ,0001280058,CANDIDATE_MATRIX_READY,high,49.7684,INVESTIGATE_LOW,61.4022,26.4781,91.0955,23.6395,31.0508,positive profitability/FCF signal,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
161,U00335,BANL,CBL International Limited - Class B Ordinary Shares,NASDAQ,0001914805,CANDIDATE_MATRIX_READY,high,49.6687,INVESTIGATE_LOW,48.1095,16.3225,52.6314,95.0,24.4508,positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
162,U00323,AXSM,"Axsome Therapeutics, Inc. - Common Stock",NASDAQ,0001579428,CANDIDATE_MATRIX_READY,high,49.4942,INVESTIGATE_LOW,48.9259,72.8248,0.2367,72.2071,57.6274,positive revenue growth; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
163,U00063,ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,0000926282,CANDIDATE_MATRIX_READY,high,49.1816,INVESTIGATE_LOW,67.9519,56.0533,62.2594,7.5584,36.2186,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
164,U00377,BFRI,Biofrontera Inc. - Common Stock,NASDAQ,0001858685,CANDIDATE_MATRIX_READY,high,48.9802,INVESTIGATE_LOW,43.8121,65.6623,0.0,93.7728,39.4958,positive revenue growth; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
165,U00655,CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,NASDAQ,0001026662,CANDIDATE_MATRIX_READY,high,48.9567,INVESTIGATE_LOW,57.8846,14.9252,45.5644,73.6795,47.5746,positive profitability/FCF signal; positive price trend; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
166,U00649,CLPS,CLPS Incorporation - Common Stock,NASDAQ,0001724542,CANDIDATE_MATRIX_READY,high,48.9413,INVESTIGATE_LOW,61.4527,67.2937,20.8647,42.832,43.0745,positive revenue growth; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
167,U00401,BKR,Baker Hughes Company - Common Stock,NASDAQ,0001701605,CANDIDATE_MATRIX_READY,high,48.8895,INVESTIGATE_LOW,42.0832,19.1397,55.8641,68.3118,76.0142,positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
168,U00249,ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",NASDAQ,0000007623,CANDIDATE_MATRIX_READY,high,48.544,INVESTIGATE_LOW,60.1609,17.7283,54.324,56.4068,48.0392,positive profitability/FCF signal; positive price trend,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
169,U00258,ASO,"Academy Sports and Outdoors, Inc. - Common Stock",NASDAQ,0001817358,CANDIDATE_MATRIX_READY,high,48.5034,INVESTIGATE_LOW,63.958,38.5258,68.4522,9.6426,59.9192,positive revenue growth; positive profitability/FCF signal,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
170,U00213,APP,Applovin Corporation - Class A Common Stock,NASDAQ,0001751008,CANDIDATE_MATRIX_READY,high,48.407,INVESTIGATE_LOW,67.9289,55.5923,65.0,1.9265,35.2452,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
171,U00265,ASTE,"Astec Industries, Inc. - Common Stock",NASDAQ,0000792987,CANDIDATE_MATRIX_READY,high,48.3492,INVESTIGATE_LOW,64.9088,45.7577,59.025,12.3233,54.5539,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
172,U00403,BLBD,Blue Bird Corporation - Common Stock,NASDAQ,0001589526,CANDIDATE_MATRIX_READY,high,48.2993,INVESTIGATE_LOW,45.0423,49.0836,54.6696,36.3762,67.6069,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
173,U00339,BATRA,"Atlanta Braves Holdings, Inc. - Series A Common Stock",NASDAQ,0001958140,CANDIDATE_MATRIX_READY,high,48.0105,INVESTIGATE_LOW,49.0067,56.327,11.8098,59.3919,78.0271,positive revenue growth; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
174,U00633,CISS,C3is Inc. - Common Stock,NASDAQ,0001951067,CANDIDATE_MATRIX_READY,high,47.4942,INVESTIGATE_LOW,84.452,0.0,93.4893,0.0,34.607,positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
175,U00180,AMSF,"AMERISAFE, Inc. - Common Stock",NASDAQ,0001018979,CANDIDATE_MATRIX_READY,high,47.463,INVESTIGATE_LOW,63.0231,39.5901,76.0919,0.6666,52.8633,positive revenue growth; positive profitability/FCF signal,balance-sheet risk flag; large 12m drawdown; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
176,U00244,ARRY,"Array Technologies, Inc. - Common Stock",NASDAQ,0001820721,CANDIDATE_MATRIX_READY,high,46.8939,INVESTIGATE_LOW,63.2045,65.8084,57.8768,0.0,31.9554,positive revenue growth; positive profitability/FCF signal,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
177,U00364,BDSX,"Biodesix, Inc. - Common Stock",NASDAQ,0001439725,CANDIDATE_MATRIX_READY,high,46.8793,INVESTIGATE_LOW,36.0273,73.8923,0.0,95.0,22.9266,positive revenue growth; positive price trend; positive 12m momentum,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
178,U00112,AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,0001774170,CANDIDATE_MATRIX_READY,high,46.7599,INVESTIGATE_LOW,66.5811,58.1784,50.5571,4.048,42.289,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
179,U00440,BOOM,DMC Global Inc. - Common Stock,NASDAQ,0000034067,CANDIDATE_MATRIX_READY,high,46.7347,INVESTIGATE_LOW,65.5324,11.7827,59.5097,40.9873,46.1902,positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
180,U00340,BATRK,"Atlanta Braves Holdings, Inc. - Series C Common Stock",NASDAQ,0001958140,CANDIDATE_MATRIX_READY,high,46.6465,INVESTIGATE_LOW,49.0067,55.0599,11.8098,54.6858,76.3342,positive revenue growth; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
181,U00512,CAMP,CAMP4 Therapeutics Corporation - Common Stock,NASDAQ,0001736730,CANDIDATE_MATRIX_READY,high,46.1564,INVESTIGATE_LOW,58.1643,73.8065,0.0,54.8918,29.6743,positive revenue growth; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
182,U00136,ALGT,Allegiant Travel Company - Common Stock,NASDAQ,0001362468,CANDIDATE_MATRIX_READY,high,45.9931,INVESTIGATE_LOW,54.2699,42.1007,55.2469,29.6942,43.0381,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
183,U00041,ACNT,Ascent Industries Co. - Common Stock,NASDAQ,0000095953,CANDIDATE_MATRIX_READY,high,45.8718,INVESTIGATE_LOW,58.108,10.9142,51.7645,46.4401,66.1568,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
184,U00186,ANDE,"The Andersons, Inc. - Common Stock",NASDAQ,0000821026,CANDIDATE_MATRIX_READY,high,45.8653,INVESTIGATE_LOW,49.1348,3.1007,59.6948,60.6049,64.4477,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
185,U00081,AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,0001362190,CANDIDATE_MATRIX_READY,high,45.533,INVESTIGATE_LOW,58.298,55.7797,61.14,10.9992,24.5984,positive revenue growth; positive profitability/FCF signal,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
186,U00490,BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",NASDAQ,0001781755,CANDIDATE_MATRIX_READY,high,45.0894,INVESTIGATE_LOW,46.9417,61.2859,12.7363,60.0104,42.0037,positive revenue growth; positive price trend,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
187,U00622,CHTR,"Charter Communications, Inc. - Class A Common Stock",NASDAQ,0001091667,CANDIDATE_MATRIX_READY,high,44.9092,INVESTIGATE_LOW,54.8934,27.617,80.3834,8.8927,50.6259,positive profitability/FCF signal,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
188,U00333,BAND,Bandwidth Inc. - Class A Common Stock,NASDAQ,0001514416,CANDIDATE_MATRIX_READY,high,44.6917,INVESTIGATE_LOW,47.8847,35.9495,13.2871,87.0,30.7894,positive revenue growth; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
189,U00474,BTCT,BTC Digital Ltd. - Ordinary Shares,NASDAQ,0001796514,CANDIDATE_MATRIX_READY,high,44.4046,INVESTIGATE_LOW,59.7552,72.2566,0.0,43.0289,34.2094,positive revenue growth,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
190,U00016,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,0001957489,CANDIDATE_MATRIX_READY,high,43.9355,INVESTIGATE_LOW,44.1896,3.0089,55.1026,81.6913,27.1803,positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag; large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
