pilot_id,ticker,company_name,status,reason,share_class_figi,exchange_codes,composite_exchange_codes,openfigi_result_truncated_at_100
P108,NORTHo,North Energy ASA,identified_candidate,exact_normalized_name_match_single_company,BBG001SNXDZ3,"B3,E1,EB,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GZ,I2,IX,L1,L3,LA,LN,LU,NO,PO,QE,QT,QX,SF,T1,TH,X2,X9,XA,XB,XD,XE,XF,XG,XH,XJ,XL,XN,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,X2,XS",False
P109,NWGw,NEWAG SA,identified_candidate,exact_normalized_name_match_single_company,BBG001V02T33,"B3,E1,EO,EP,EU,EZ,GD,GF,GM,GR,GS,L1,L3,LA,LN,LU,PO,PW,QT,XA,XE,XF,XG,XH,XJ,XL,XO,XS,XU,XV,XW,XX","EO,GR",False
P110,OHBAd,OHB SE,identified_candidate,exact_normalized_name_match_single_company,BBG001SBS8V0,"AV,B3,BW,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GI,GM,GR,GS,GY,GZ,I2,IX,L1,L3,LA,LN,LU,PO,PQ,QE,QT,QX,S1,S2,S4,SW,T1,TE,TH,TQ,US,UV,X1,X2,X9,XA,XB,XC,XE,XF,XG,XH,XJ,XL,XO,XP,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,SW,US,X2",True
P111,ORKLFn,Orkla ASA,identified_candidate,exact_normalized_name_match_single_company,BBG001S6MCX6,"B3,BW,E1,EB,EO,EP,EU,EZ,GI,GM,GR,GZ,I2,L1,L3,LA,LU,NO,PO,QE,QX,S1,S2,S4,SF,SW,T1,T2,TH,TQ,US,UV,X1,X9,XA,XC,XE,XF,XH,XJ,XL,XO,XS,XT,XV,XW,XX","EO,GR,SW,US",True
P112,PALv,Palfinger AG,identified_candidate,exact_normalized_name_match_single_company,BBG001SCR9Q3,"AV,B3,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GZ,I2,IX,L1,L3,LA,LO,LU,PO,PQ,QE,QT,QX,S1,S4,T1,T2,TH,TQ,US,UV,WT,X1,X2,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,US",True
P113,PETGt,Petrol DD Ljubljana,identified_candidate,exact_normalized_name_match_single_company,BBG001SBFKB9,"AV,B3,E1,EO,EP,EU,EZ,GF,GR,L1,L3,LA,LO,LU,PO,SV,X2,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XV,XW,XX","EO,GR",False
P114,PLABn,Photronics Inc,identified_candidate,exact_normalized_name_match_single_company,BBG001S5V7C2,"B3,BW,E1,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GZ,L1,L3,LA,LU,OC,OD,PO,QT,SW,UA,UB,UC,UD,UF,UM,UN,UP,US,UW,UX,VF,VG,VJ,VK,VL,VP,VT,VY,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,GR,SW,US,X2,XS",True
P115,PPLn,Pembina Pipeline Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001SB0CJ5,"CJ,CT,DG,DJ,DT,E1,EP,EU,EZ,GF,GI,GM,GS,HX,L3,LU,MU,OD,PO,QG,QH,TA,TH,TK,TR,TW,TX,UA,UB,UM,UN,UP,US,UT,UX,VG,VJ,VK,VL,VP,VT,VY,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","US,X2",True
P116,PTRm,Pattern SpA,identified_candidate,exact_normalized_name_match_single_company,BBG00PMC3MJ1,"B3,E1,EP,EZ,IM,L1,L3,PO,XQ,XT,XX,XZ",,False
P117,QUADf,Quantum Developments REIT PLC,unresolved,no_exact_normalized_name_match,,,,
P118,RECTb,Recticel SA,identified_candidate,exact_normalized_name_match_single_company,BBG001SBDRS8,"B3,BB,BQ,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GZ,I2,IX,L1,L3,LA,LO,LU,PO,QE,QT,QX,S1,S4,T1,TH,TQ,X1,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XV,XW,XX","EO,GR",False
P119,RLIAe,Realia Business SA,identified_candidate,exact_normalized_name_match_single_company,BBG001SNR195,"B3,BQ,E1,EB,EO,EP,EU,EZ,GD,GF,GR,GS,I2,IX,L1,L3,LA,LN,LU,PO,QE,QT,QX,S1,S4,SM,SQ,T1,TQ,X1,X2,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XV,XW,XX","EO,GR,SM",False
P120,RTLLFn,Rational AG,identified_candidate,exact_normalized_name_match_single_company,BBG001SD7H76,"AV,B3,BW,E1,EB,EO,EP,EU,EZ,GD,GH,GM,GS,GY,GZ,IX,L1,L3,LA,LO,LU,PO,QE,QX,S1,S4,SE,T1,T2,TE,TH,TQ,WT,X1,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX","EO,XS",True
P121,SAMPOh,Sampo Oyj,unresolved,no_exact_normalized_name_match,,,,
P122,SCMNz,Swisscom AG,identified_candidate,exact_normalized_name_match_single_company,BBG001S983J2,"BQ,BW,E1,EB,EO,EP,EU,EZ,GH,GM,GS,GY,IF,LO,MM,MU,PO,PQ,QX,S1,SW,T2,US,WT,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XU,XV,XW,XX","EO,MM,SW,US",True
P123,SFCAp,Societe francaise de Casinos,identified_candidate,exact_normalized_name_match_single_company,BBG001S9N7H8,"B3,E1,EO,EP,EU,EZ,FP,GS,L1,L3,LN,PO,X1,X2,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XY,XZ",EO,False
P124,SIGNz,SIG Group AG,identified_candidate,exact_normalized_name_match_single_company,BBG00NLF1QQ5,"AV,B3,BQ,BW,E1,EB,EO,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GY,GZ,IF,IM,IX,L1,L3,LA,LO,LU,PO,PQ,QT,QX,S1,SE,SW,TH,TQ,US,UV,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XT,XU,XV,XW,XX,XZ","EO,GR,SW,US",True
P125,SMAWFn,Siemens AG,identified_candidate,exact_normalized_name_match_single_company,BBG001S69GV4,XH,,True
P126,SOLNAs,Solnaberg Property AB,identified_candidate,exact_normalized_name_match_single_company,BBG00DYB1CJ1,"B3,E1,EP,EU,EZ,L1,L3,PO,SF,X2,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XS,XU,XV,XW,XX",X2,False
P127,SQn,Square Inc,unresolved,no_exact_normalized_name_match,,,,
P128,STRNz,Schlatter Industries AG,identified_candidate,exact_normalized_name_match_single_company,BBG001S92ZG0,"BW,E1,EB,EO,EP,EU,EZ,IX,L1,L3,LN,PO,QX,S1,SE,SW,TQ,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,SW",False
P129,SYKd,Stryker Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S8FR03,"B3,BW,E1,EP,EU,GF,GI,GM,GR,GS,GY,GZ,IF,IX,L3,LA,LU,OD,QT,S1,S4,SW,TE,UA,UC,UM,UN,US,UT,VJ,VK,VT,X2,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","GR,SW,US,X2",True
P130,TECKn,Teck Resources Ltd,unresolved,no_exact_normalized_name_match,,,,
P131,THLEFn,Thales SA,identified_candidate,exact_normalized_name_match_single_company,BBG001S69MN0,"AV,B3,BQ,BW,E1,EB,EO,EU,EZ,FP,GD,GF,GH,GM,GR,GS,GY,GZ,I2,IF,IX,L1,L3,LO,MF,PO,PQ,QE,QT,QX,S1,S4,SW,T1,TE,TH,TQ,US,UV,X1,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XT,XU,XV,XW,XX","EO,GR,SW,US",True
P132,TMRk,Tatry mountain resorts AS,unresolved,no_exact_normalized_name_match,,,,
P133,TRMDAc,TORM PLC,unresolved,no_exact_normalized_name_match,,,,
P134,TWLOv,Twilio Inc,unresolved,no_exact_normalized_name_match,,,,
P135,UNIBAs,Unibap Space Solutions AB,identified_candidate,exact_normalized_name_match_single_company,BBG00GBHWT50,"B3,EP,EU,EZ,GF,GR,L1,L3,PO,SF,XA,XF,XG,XH,XJ,XL,XO,XU,XV,XW",GR,False
P136,VBGBs,VBG Group AB,unresolved,no_exact_normalized_name_match,,,,
P137,VKp,Vallourec SACA,identified_candidate,exact_normalized_name_match_single_company,BBG001S69SG5,"AV,B3,BQ,BW,EB,EP,EZ,FP,GR,GZ,I2,IF,IX,L1,L3,PO,PQ,QE,QT,QX,S1,S4,SW,T1,TH,TQ","GR,SW",True
P138,VTLw,Vistal Gdynia SA,identified_candidate,exact_normalized_name_match_single_company,BBG001TQBNT4,"EO,EU,EZ,GR,PO,PW,XA,XE,XF,XJ,XO,XS,XU,XV,XW","EO,GR",False
P139,WIBd,Wienerberger AG,identified_candidate,exact_normalized_name_match_single_company,BBG001S78P61,"AV,B3,BW,CP,E1,EB,EO,EP,EU,EZ,GD,GF,GM,GY,GZ,I2,IX,L1,L3,LA,LU,PO,PQ,QE,S1,S4,SW,T2,TH,TQ,US,UV,WT,X1,X9,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","CP,EO,SW,US,XS",True
P140,WWIBOs,Wilh Wilhelmsen Holding ASA,unresolved,no_exact_normalized_name_match,,,,
P141,YPSNz,Ypsomed Holding AG,identified_candidate,exact_normalized_name_match_single_company,BBG001SC15W2,"B3,BQ,BW,E1,EB,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GZ,IX,L1,L3,LA,LN,LU,PO,PQ,QT,QX,S1,SE,SW,T2,TH,TQ,US,UV,WT,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,GR,SW,US,XS",True
P142,ZZBs,Zinzino AB,unresolved,no_exact_normalized_name_match,,,,
